Name	Id	Crate	Channel	Type	Index1	Index2	Efactor
He001	1	8	0	1	1	0	0.702207791415998
He002	2	8	1	1	1	0	0.355136513394125
He003	3	8	2	1	1	0	0.350856708711877
He004	4	8	3	1	2	0	0.346587259679172
He005	5	8	4	1	2	0	0.347307230857963
He006	6	8	5	1	3	0	0.345385241222914
He007	7	8	6	1	1	0	0.374561093800103
He008	8	8	7	1	1	0	0.352859773693298
He009	9	8	8	1	1	0	0.355110227422716
He010	10	8	9	1	2	0	0.341490221163256
He011	11	8	10	1	2	0	0.343606179723396
He012	12	8	11	1	3	0	0.349341645801959
He013	13	8	16	1	1	0	0.593124040834883
He014	14	8	17	1	1	0	0.385393821174451
He015	15	8	18	1	1	0	0.405879028775219
He016	16	8	19	1	2	0	0.408126425630339
He017	17	8	20	1	2	0	0.396535686971303
He018	18	8	21	1	3	0	0.42227734156162
He019	19	8	22	1	1	0	0.377271165900534
He020	20	8	23	1	1	0	0.396116629738149
He021	21	8	12	1	1	0	0.385804365170757
He022	22	8	13	1	2	0	0.393707865780641
He023	23	8	14	1	2	0	0.380972300716952
He024	24	8	15	1	3	0	0.394833461946133
He025	25	8	32	1	3	0	0.644926849578139
He026	26	8	33	1	1	0	0.454126078418171
He027	27	8	34	1	1	0	0.383498837778353
He028	28	8	35	1	1	0	0.430626352079222
He029	29	8	36	1	1	0	0.428487194246179
He030	30	8	37	1	1	0	0.441813924884834
He031	31	8	24	1	3	0	0.38364764240792
He032	32	8	25	1	3	0	0.3708954041421
He033	33	8	26	1	2	0	0.382715536913655
He034	34	8	27	1	2	0	0.398809899051487
He035	35	8	28	1	2	0	0.386119630369246
He036	36	8	29	1	2	0	0.397508484507481
He037	37	8	30	1	3	0	0.40416114499246
He038	38	8	31	1	3	0	0.349454589183904
He039	39	8	48	1	3	0	0.527823153477608
He040	40	8	49	1	3	0	0.346045991468383
He041	41	8	50	1	3	0	0.345042283449228
He042	42	8	51	1	3	0	0.368493976639562
He043	43	8	38	1	3	0	0.463869856973916
He044	44	8	39	1	3	0	0.450531724191223
He045	45	8	40	1	1	0	0.453035783377112
He046	46	8	41	1	1	0	0.46182068064526
He047	47	8	42	1	1	0	0.462827172352934
He048	48	8	43	1	1	0	0.447282523748928
He049	49	8	44	1	1	0	0.477857757760648
He050	50	8	45	1	3	0	0.471008749546074
He051	51	8	46	1	3	0	0.49013483523642
He052	52	8	47	1	3	0	0.476115560161242
He053	53	8	52	1	2	0	0.426585249813463
He054	54	8	53	1	2	0	0.426867533313801
He055	55	8	54	1	2	0	0.423725104831936
He056	56	8	55	1	2	0	0.398374180735878
He057	57	8	56	1	3	0	0.419079533105746
He058	58	8	57	1	3	0	0.419786641983623
He059	59	8	58	1	3	0	0.416842552541967
He060	60	8	59	1	3	0	0.454797486962619
He061	61	8	60	1	3	0	0.411046581209369
He062	62	8	61	1	3	0	0.400290497693346
He063	63	8	62	1	3	0	0.415404383755437
He064	64	8	63	1	3	0	0.423710337360019
He065	65	9	0	1	5	0	0.511356106031313
He066	66	9	1	1	4	0	0.350715230705012
He067	67	9	2	1	4	0	0.683017217606125
He068	68	9	3	1	5	0	0.349261397496003
He069	69	9	4	1	7	0	0.351238105227397
He070	70	9	5	1	7	0	0.341706600236699
He071	71	9	6	1	7	0	0.360488308525521
He072	72	9	7	1	7	0	6.3486086351869
He073	73	9	8	1	5	0	0.359016828637256
He074	74	9	9	1	4	0	0.3431310390159
He075	75	9	10	1	4	0	0.354325856246961
He076	76	9	11	1	5	0	0.336322956208034
He077	77	9	12	1	7	0	0.333778967199803
He078	78	9	13	1	7	0	0.341972316100001
He079	79	9	14	1	7	0	0.355756788543255
He080	80	9	15	1	7	0	0.337935772311311
He081	81	9	16	1	4	0	0.41878716707618
He082	82	9	17	1	4	0	0.421198908324184
He083	83	9	18	1	4	0	0.373552468520054
He084	84	9	19	1	4	0	0.372897404465968
He085	85	9	20	1	4	0	0.411795013270886
He086	86	9	21	1	5	0	0.409788323818428
He087	87	9	22	1	5	0	0.418736059283968
He088	88	9	23	1	5	0	0.370714558713611
He089	89	9	24	1	5	0	0.391663682079231
He090	90	9	25	1	5	0	0.3695984363229
He091	91	9	26	1	5	0	0.38235836997267
He092	92	9	27	1	6	0	0.377035471892234
He093	93	9	28	1	6	0	0.388187081656487
He094	94	9	29	1	6	0	0.370728771355146
He095	95	9	30	1	6	0	0.373611227095697
He096	96	9	32	1	6	0	0.340347308693461
He097	97	9	33	1	6	0	0.34388302164092
He098	98	9	34	1	6	0	0.353593195412328
He099	99	9	35	1	6	0	0.305840646728264
He100	100	9	36	1	6	0	0.343400178026544
He101	101	9	37	1	7	0	0.348254986359547
He102	102	9	38	1	7	0	0.327510929772888
He103	103	9	39	1	7	0	0.347006132484432
He104	104	9	40	1	7	0	0.337267210377288
He105	105	9	41	1	7	0	0.348306938428735
He106	106	9	42	1	7	0	0.340749053726335
He107	107	9	43	1	7	0	0.372828044729181
He108	108	9	44	1	7	0	0.336156833275505
He109	109	9	45	1	7	0	0.366231609907137
He110	110	9	46	1	7	0	0.334627224266713
He111	111	9	48	1	4	0	0.305557391504173
He112	112	9	49	1	4	0	0.340268880222312
He113	113	9	50	1	4	0	0.332712723734651
He114	114	9	51	1	4	0	0.341014245773388
He115	115	9	52	1	4	0	0.33814682330061
He116	116	9	53	1	5	0	0.330100343890317
He117	117	9	54	1	5	0	0.336698107258812
He118	118	9	55	1	5	0	0.347145430308521
He119	119	9	56	1	5	0	0.369712207767427
He120	120	9	57	1	5	0	0.34954689927989
He121	121	9	58	1	5	0	0.349291433415945
He122	122	9	59	1	6	0	0.344826750277527
He123	123	9	60	1	6	0	0.368239289538421
He124	124	9	61	1	6	0	0.380878777463449
He125	125	9	62	1	6	0	0.375362491474346
He126	126	10	0	1	6	0	1
He127	127	10	1	1	6	0	1
He128	128	10	2	1	6	0	1
He129	129	10	3	1	6	0	1
He130	130	10	4	1	6	0	1
He131	131	10	5	1	7	0	1
He132	132	10	6	1	7	0	1
He133	133	10	7	1	7	0	1
He134	134	10	8	1	7	0	1
He135	135	10	9	1	7	0	1
He136	136	10	10	1	7	0	1
He137	137	10	11	1	7	0	1
He138	138	10	12	1	7	0	1
He139	139	10	13	1	7	0	1
He140	140	10	14	1	7	0	1
